"Category","EU Average","EU Min","EU Max","Austria","Belgium","Bulgaria","Cyprus","Czech Republic","Germany","Denmark","Estonia","Greece","Spain","Finland","France","Croatia","Hungary","Ireland","Italy","Lithuania","Luxembourg","Latvia","Malta","Netherlands","Poland","Portugal","Romania","Sweden","Slovenia","Slovakia","United Kingdom","Argentina","Australia","Brazil","Canada","China","India","Japan","Mexico","Russia","Saudi Arabia","South Africa","South Korea","Turkey","USA","Switzerland","Norway","Iceland"
"2008-1",172.93,78.22,292.09,181.6,218.29,78.44,193.19,155.66,237.67,292.09,87.72,116.33,151.77,133.23,117.55,110,171.99,174.66,221.99,99.22,182.56,78.22,110.33,196.16,137.84,164.66,119.44,188.25,121.15,157.88,147.29,12,,,89.64,87.49,53.38,214.73,95.35,,13.22,58.12,72.28,110.86,100.65,153.16,149.51,
"2008-2",174.08,78.22,292.09,181.92,235.2,78.44,197.47,155.66,238.33,292.09,87.72,116.33,151.77,134.95,117.55,110,171.99,174.66,221.99,99.22,182.56,78.22,110.33,196.27,149.82,164.66,119.44,188.34,117.9,157.88,162.9,,,,,87.49,,,,,,,72.83,110.89,100.85,,142.85,
"2008-3",174.28,78.22,292.09,182.05,243.68,78.44,197.65,155.66,238.33,292.09,85.64,116.33,151.77,135.7,117.55,110,171.99,174.66,221.99,99.22,182.56,78.22,110.33,196.54,149.82,164.66,119.44,187.18,117.9,157.88,162.9,,,,,87.49,,,,,,,66.68,110.89,103.73,,130.62,
"2008-4",175.31,78.44,293.45,182.05,248.08,78.44,197.07,155.66,238.99,293.45,85.64,116.33,151.77,136.26,117.55,110,171.99,174.66,229.32,99.22,182.98,108.89,110.33,196.58,147.66,164.66,119.44,187.31,117.9,157.88,166.29,,,,,87.49,,,,,,,66.5,110.89,108.5,,124.64,
"2008-5",175.52,78.44,293.45,182.17,249.91,78.44,198.19,155.66,239.31,293.45,85.64,116.33,151.77,137.01,117.55,110,171.99,174.66,229.32,99.22,182.98,108.89,110.33,196.71,150.41,164.66,119.44,186.44,117.9,157.88,166.29,,,,,87.49,,,,,,,66.31,110.89,113.16,,121.1,
"2008-6",176.1,78.44,293.45,182.17,252.77,78.44,203.04,155.66,239.31,293.45,85.64,116.33,151.77,138.15,117.55,110,171.99,174.66,229.32,99.22,182.98,108.89,110.33,197.02,150.41,164.66,119.44,194.45,117.9,157.88,166.29,,,,,87.49,,,,,,,67.14,110.89,116.83,,121.92,
"2008-7",181.38,90.88,297.04,181.62,270.3,90.88,210.11,158.66,242.44,297.04,91.72,122.11,172.99,137.02,115.5,131.55,172.55,178.77,246.78,99.33,178.71,111.44,159.51,199.21,155.81,169.44,119.99,186.41,119.62,169.55,160.33,,,,,87.49,,,,,,,79.16,131.11,119.81,,120.23,
"2008-8",182.53,90.88,297.04,181.62,271.63,90.88,219.81,158.66,243.44,297.04,91.92,122.11,172.99,139.28,116.61,131.55,172.55,210.1,246.78,99.33,178.71,111.44,159.51,199.21,155.81,169.44,119.99,189.89,119.62,169.55,167.09,,,,,87.49,,,,,,,85.67,129.61,120.01,,129.91,
"2008-9",183.36,90.88,297.04,181.62,273.45,90.88,240.92,158.66,243.77,297.04,91.92,122.11,172.99,140.88,117.63,131.55,172.55,210.1,246.78,99.33,178.8,111.44,159.51,199.72,155.81,169.44,119.99,196.63,119.62,169.55,184.32,,,,,87.49,,,,,,,72.83,129.61,118.32,,146.01,
"2008-10",184.14,90.88,321.82,181.62,274.57,90.88,242.69,158.66,244.43,321.82,91.92,122.11,172.99,142.4,117.63,131.55,172.55,210.1,248.09,99.33,178.8,111.44,181.8,200.15,155.81,169.44,119.99,197.26,119.62,169.55,185.63,,,,,87.49,,,,,,,67.23,141.44,117.23,,154.82,
