"Category","EU Average","EU - Max","EU - Min","Austria","Belgium","Bulgaria","Cyprus","Czech Republic","Germany","Denmark","Estonia","Greece","Spain","Finland","France","Croatia","Hungary","Ireland","Italy","Lithuania","Luxembourg","Latvia","Malta","Netherlands","Poland","Portugal","Romania","Sweden","Slovenia","Slovakia","United Kingdom","Argentina","Australia","Brazil","Canada","China","India","Indonesia","Japan","Mexico","Russia","Saudi Arabia","South Africa","South Korea","Turkey","USA","Switzerland","Norway","Iceland"
"2008-1",111.72,166.79,54.44,,93.87,55.11,132.2,,106.11,99.54,54.53,,,,,68.77,111,,166.79,,,54.44,102,100.13,86.5,,87,68.74,87.17,120.33,78.19,15.86,74.66,,70.39,112.73,90.19,,138.27,125.07,37.77,31.76,23.36,61.94,71.43,62.83,93.07,66.43,
"2008-2",112.8,166.79,54.44,,101.14,55.11,135.12,,106.4,99.54,54.53,,,79.45,95.33,,111,154.44,166.79,,,54.44,102,,94.02,120.77,87,,84.83,120.33,,,,,,112.73,,,,,43.53,,,,71.44,62.93,,,
"2008-3",106.86,166.79,53.23,102.92,104.79,55.11,135.25,102.77,106.4,99.54,53.23,81.89,93.11,79.89,95.33,68.77,111,154.44,166.79,104.77,,54.44,102,100.32,94.02,120.77,87,68.34,84.83,120.33,86.48,,,,,112.73,,,,,44.57,,,,71.44,64.13,,58.04,
"2008-4",107.78,172.3,53.23,102.92,106.68,55.11,134.85,102.77,106.7,100.01,53.23,81.89,93.11,80.22,95.33,68.77,111,154.44,172.3,104.77,,75.78,102,100.35,92.66,120.77,87,68.39,84.83,120.33,88.28,,,,,112.73,,,,,43.17,,,,71.44,65.91,,55.38,
"2008-5",107.92,172.3,53.23,102.98,107.47,55.11,135.62,102.77,106.84,100.01,53.23,81.89,93.11,80.66,95.33,68.77,111,154.44,172.3,104.77,,75.78,102,100.41,94.39,120.77,87,68.07,84.83,120.33,88.28,,,,,111.04,,,,,43.02,,,,71.44,67,,53.81,
"2008-6",108.18,172.3,53.23,102.98,108.69,55.11,138.94,102.77,106.84,100.01,53.23,81.89,93.11,81.33,95.33,68.77,111,154.44,172.3,104.77,,75.78,102,100.57,94.39,120.77,87,71,84.83,120.33,88.28,,,,,111.04,,,,,42.9,,,,71.44,72.96,,54.17,
"2008-7",109.1,180.18,58.01,105.77,105.4,65.89,158.61,104.33,105.7,106.98,58.01,88.66,99,81.7,87.22,89.77,120.88,150.17,180.18,105.66,,79.11,137.39,101.38,87.99,121.99,88.77,73.24,87.96,129.99,86.21,,,,,116.09,,,,,42.84,,,,85.4,76.63,,59.79,
"2008-8",109.68,180.18,58.13,105.77,105.92,65.89,165.93,104.33,106.14,106.98,58.13,88.66,99,83.04,88.07,89.77,120.88,176.49,180.18,105.66,,79.11,137.39,101.38,87.99,121.99,88.77,74.61,87.96,129.99,89.85,,,,,119.46,,,,,43.56,,,,84.43,74.94,,64.6,
"2008-9",110.06,181.87,58.13,105.77,106.63,65.89,181.87,104.33,106.28,106.98,58.13,88.66,99,84,88.84,89.77,120.88,176.49,180.18,105.66,,79.11,137.39,101.64,87.99,121.99,88.77,77.26,87.96,129.99,99.12,,,,,119.46,,,,,44.93,,,,84.43,72.56,,72.61,
"2008-10",110.44,183.21,58.13,105.77,107.07,65.89,183.21,104.33,106.57,115.9,58.13,88.66,99,84.91,88.84,89.77,120.88,176.49,181.14,105.66,,79.11,156.59,101.86,87.99,121.99,88.77,77.5,87.96,129.99,99.82,,,,,119.46,,,,,44.35,,,,92.13,71.37,,76.98,
"2008-11",110.7,181.14,58.13,110.11,107.98,65.89,174.32,104.33,106.57,115.9,58.13,88.66,99,85.93,88.84,89.77,120.88,176.49,181.14,105.66,,79.11,156.59,101.91,88.68,121.99,88.77,77.84,91.73,129.99,99.82,,,,,119.46,,,,,44.14,,,,92.13,68.79,,75.67,
"2008-12",110.7,181.14,58.13,110.11,108.3,65.89,162.68,104.33,106.71,115.9,58.13,88.66,99,86.4,88.84,89.77,120.88,176.49,181.14,105.66,,79.11,156.59,101.81,88.68,121.99,88.77,76.87,91.73,129.99,99.82,,,149.09,,121.14,,65.76,,,44.3,,,,92.13,67.4,,73.67,
"2009-1",113.36,182.48,60.9,119.55,118.35,65.83,124.46,103.48,108.64,96.07,60.9,91.26,104.91,85.61,101.39,80.47,121.43,170.81,182.48,112.95,102.69,93.46,147.62,109.53,83.86,124.4,80.8,67.07,86.47,139.81,94.81,13.34,76.8,,60.25,121.4,88.57,,155.43,84.93,42.93,31.52,27.13,59.05,80.33,68.17,92.16,70.79,
"2009-2",113.71,182.48,61.12,119.55,115.49,65.83,115.16,103.48,109.5,96.07,61.12,91.26,104.91,85.72,101.39,80.47,121.43,170.81,182.48,112.95,102.69,93.46,147.62,109.35,90.45,124.4,80.8,66.35,87.95,139.81,94.81,,,,,121.4,,,,,51.75,,,,80.33,67.97,,68.39,
"2009-3",113.71,182.48,62.43,119.55,112.97,65.83,107.95,103.48,110.21,96.07,62.43,91.26,104.91,86.59,101.39,80.47,121.43,170.81,182.48,112.95,102.69,93.46,147.62,108.92,89.51,124.4,80.8,65.48,90.19,139.81,94.37,,,,,121.4,,,,,52.44,,,,80.33,67.09,,65.51,
"2009-4",113.12,179.48,62.47,119.55,108.72,65.83,106.3,103.48,111.07,90.19,62.47,91.26,104.91,86.04,101.39,80.47,121.43,170.81,179.48,112.95,103.17,93.46,123.2,108.22,89.3,124.4,80.8,64.12,90.19,139.81,89.56,,,,,121.4,,,,,51.19,,,,79.06,66.5,,63.85,
"2009-5",112.83,179.48,62.47,119.55,106.18,65.83,104.66,103.48,111.21,90.19,62.47,91.26,104.91,85.49,101.39,80.47,121.43,153.11,179.48,112.95,103.17,93.46,123.2,108.21,89.3,124.4,80.8,63.56,90.19,139.81,87.67,,,,,118.02,,,,,51.39,,,,79.08,66.69,,62.93,
"2009-6",112.77,179.48,62.47,119.55,104.74,65.83,105.29,103.48,111.21,90.19,62.47,91.26,104.91,85.1,101.39,80.47,121.43,153.11,179.48,112.95,103.17,93.46,123.2,108.35,89.3,124.4,80.8,63.79,90.02,139.81,87.67,,,,,118.02,,,,,50.06,,,,79.08,69.85,,62.87,
"2009-7",110.08,168.43,64.18,118.77,106.98,64.18,119.09,107.72,110.69,98.41,64.76,89.28,102.82,84.2,91.63,85.98,123.16,154.78,168.43,101.39,103.04,91.92,94.67,107.2,92.69,126.38,78.6,66.56,87.72,139.04,86.14,,,,,118.02,,,,,50.24,,,,75.7,69.94,,62.66,
